/usr/share/Modules/bin:/lsf/local/bin/:/lsf/10.1/linux3.10-glibc2.17-x86_64/etc:/lsf/10.1/linux3.10-glibc2.17-x86_64/bin:/appl9/latex/TexLive24/bin/x86_64-linux:/appl/Modules/4.8.0/bin:/apps9/dcc/bin:/usr/bin:/bin:/usr/local/bin:/opt/puppetlabs/bin:.
/work3/mtaho/PhD/fenitop/scripts
Start time:
Tue Feb 25 07:48:52 CET 2025
No. of cores = 64
No. of processes = 64
No. of OMP threads = 1
opt_iter: 72, opt_time: 9.07 (s), beta: 2, C: 16.971, V: 0.080, U: 0.000, change: 0.020
opt_iter: 73, opt_time: 9.27 (s), beta: 2, C: 16.922, V: 0.080, U: 0.000, change: 0.020
opt_iter: 74, opt_time: 9.3 (s), beta: 2, C: 16.877, V: 0.080, U: 0.000, change: 0.020
opt_iter: 75, opt_time: 9.28 (s), beta: 2, C: 16.835, V: 0.080, U: 0.000, change: 0.020
opt_iter: 76, opt_time: 9.3 (s), beta: 2, C: 16.797, V: 0.080, U: 0.000, change: 0.020
opt_iter: 77, opt_time: 9.06 (s), beta: 2, C: 16.762, V: 0.080, U: 0.000, change: 0.020
opt_iter: 78, opt_time: 9.34 (s), beta: 2, C: 16.730, V: 0.080, U: 0.000, change: 0.020
opt_iter: 79, opt_time: 9.15 (s), beta: 2, C: 16.700, V: 0.080, U: 0.000, change: 0.020
opt_iter: 80, opt_time: 9.3 (s), beta: 2, C: 16.674, V: 0.080, U: 0.000, change: 0.020
opt_iter: 81, opt_time: 9.18 (s), beta: 2, C: 16.650, V: 0.080, U: 0.000, change: 0.020
opt_iter: 82, opt_time: 9.39 (s), beta: 2, C: 16.628, V: 0.080, U: 0.000, change: 0.020
opt_iter: 83, opt_time: 9.37 (s), beta: 2, C: 16.608, V: 0.080, U: 0.000, change: 0.020
opt_iter: 84, opt_time: 9.07 (s), beta: 2, C: 16.589, V: 0.080, U: 0.000, change: 0.020
opt_iter: 85, opt_time: 9.14 (s), beta: 2, C: 16.572, V: 0.080, U: 0.000, change: 0.020
opt_iter: 86, opt_time: 9.36 (s), beta: 2, C: 16.556, V: 0.080, U: 0.000, change: 0.020
opt_iter: 87, opt_time: 9.37 (s), beta: 2, C: 16.541, V: 0.080, U: 0.000, change: 0.020
opt_iter: 88, opt_time: 9.36 (s), beta: 2, C: 16.527, V: 0.080, U: 0.000, change: 0.020
opt_iter: 89, opt_time: 9.11 (s), beta: 2, C: 16.514, V: 0.080, U: 0.000, change: 0.020
opt_iter: 90, opt_time: 9.35 (s), beta: 2, C: 16.501, V: 0.080, U: 0.000, change: 0.020
opt_iter: 91, opt_time: 9.1 (s), beta: 2, C: 16.490, V: 0.080, U: 0.000, change: 0.020
opt_iter: 92, opt_time: 9.36 (s), beta: 2, C: 16.479, V: 0.080, U: 0.000, change: 0.020
opt_iter: 93, opt_time: 9.08 (s), beta: 2, C: 16.469, V: 0.080, U: 0.000, change: 0.020
opt_iter: 94, opt_time: 9.37 (s), beta: 2, C: 16.460, V: 0.080, U: 0.000, change: 0.020
opt_iter: 95, opt_time: 9.13 (s), beta: 2, C: 16.450, V: 0.080, U: 0.000, change: 0.020
opt_iter: 96, opt_time: 9.41 (s), beta: 2, C: 16.442, V: 0.080, U: 0.000, change: 0.020
opt_iter: 97, opt_time: 9.07 (s), beta: 2, C: 16.434, V: 0.080, U: 0.000, change: 0.020
opt_iter: 98, opt_time: 9.37 (s), beta: 2, C: 16.426, V: 0.080, U: 0.000, change: 0.020
opt_iter: 99, opt_time: 9.14 (s), beta: 2, C: 16.418, V: 0.080, U: 0.000, change: 0.020
opt_iter: 100, opt_time: 10.9 (s), beta: 4, C: 19.219, V: 0.061, U: 0.000, change: 0.020
opt_iter: 101, opt_time: 10.5 (s), beta: 4, C: 17.791, V: 0.063, U: 0.000, change: 0.020
opt_iter: 102, opt_time: 10.7 (s), beta: 4, C: 16.169, V: 0.066, U: 0.000, change: 0.020
opt_iter: 103, opt_time: 10.3 (s), beta: 4, C: 14.581, V: 0.070, U: 0.000, change: 0.020
opt_iter: 104, opt_time: 10.1 (s), beta: 4, C: 13.139, V: 0.073, U: 0.000, change: 0.020
opt_iter: 105, opt_time: 9.88 (s), beta: 4, C: 11.855, V: 0.078, U: 0.000, change: 0.020
opt_iter: 106, opt_time: 9.75 (s), beta: 4, C: 11.183, V: 0.080, U: 0.000, change: 0.020
opt_iter: 107, opt_time: 9.75 (s), beta: 4, C: 11.044, V: 0.080, U: 0.000, change: 0.020
opt_iter: 108, opt_time: 10.1 (s), beta: 4, C: 10.925, V: 0.080, U: 0.000, change: 0.020
opt_iter: 109, opt_time: 9.77 (s), beta: 4, C: 10.823, V: 0.080, U: 0.000, change: 0.020
opt_iter: 110, opt_time: 10 (s), beta: 4, C: 10.733, V: 0.080, U: 0.000, change: 0.020
opt_iter: 111, opt_time: 9.92 (s), beta: 4, C: 10.654, V: 0.080, U: 0.000, change: 0.020
opt_iter: 112, opt_time: 10.2 (s), beta: 4, C: 10.583, V: 0.080, U: 0.000, change: 0.020
opt_iter: 113, opt_time: 9.91 (s), beta: 4, C: 10.519, V: 0.080, U: 0.000, change: 0.020
opt_iter: 114, opt_time: 10.2 (s), beta: 4, C: 10.462, V: 0.080, U: 0.000, change: 0.020
opt_iter: 115, opt_time: 9.9 (s), beta: 4, C: 10.410, V: 0.080, U: 0.000, change: 0.020
opt_iter: 116, opt_time: 10.1 (s), beta: 4, C: 10.363, V: 0.080, U: 0.000, change: 0.020
opt_iter: 117, opt_time: 9.87 (s), beta: 4, C: 10.321, V: 0.080, U: 0.000, change: 0.020
opt_iter: 118, opt_time: 10.2 (s), beta: 4, C: 10.282, V: 0.080, U: 0.000, change: 0.020
opt_iter: 119, opt_time: 9.98 (s), beta: 4, C: 10.246, V: 0.080, U: 0.000, change: 0.020
opt_iter: 120, opt_time: 10.1 (s), beta: 4, C: 10.213, V: 0.080, U: 0.000, change: 0.020
opt_iter: 121, opt_time: 9.87 (s), beta: 4, C: 10.183, V: 0.080, U: 0.000, change: 0.020
opt_iter: 122, opt_time: 10.2 (s), beta: 4, C: 10.155, V: 0.080, U: 0.000, change: 0.020
opt_iter: 123, opt_time: 9.97 (s), beta: 4, C: 10.129, V: 0.080, U: 0.000, change: 0.020
opt_iter: 124, opt_time: 10.2 (s), beta: 4, C: 10.105, V: 0.080, U: 0.000, change: 0.020
opt_iter: 125, opt_time: 9.89 (s), beta: 4, C: 10.083, V: 0.080, U: 0.000, change: 0.020
opt_iter: 126, opt_time: 10.2 (s), beta: 4, C: 10.062, V: 0.080, U: 0.000, change: 0.020
opt_iter: 127, opt_time: 9.96 (s), beta: 4, C: 10.043, V: 0.080, U: 0.000, change: 0.020
